,Name,Club,Country,League,Overall Rating,Position,Skill,Weak Foot,Work Rate,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Base Stats,In Game Stats
0,Lionel Messi,FC Barcelona,Argentina,LaLiga Santander,94,RW,4,4,M / L,87,92,92,96,39,66,170,472,2297
1,Cristiano Ronaldo,Piemonte Calcio,Portugal,Serie A TIM,93,ST,5,4,H / L,90,93,82,89,35,78,187,467,2265
2,Neymar Jr,Paris Saint-Germain,Brazil,Ligue 1 Conforama,92,LW,5,5,H / M,91,85,87,95,32,58,175,448,2197
3,Kevin De Bruyne,Manchester City,Belgium,Premier League,91,CAM,4,5,H / H,76,86,92,87,61,78,181,480,2311
4,Eden Hazard,Real Madrid,Belgium,LaLiga Santander,91,LW,4,4,H / M,91,83,86,94,35,66,175,455,2191
5,Jan Oblak,Atlético Madrid,Slovenia,LaLiga Santander,91,GK,1,3,M / M,87,92,78,89,43,90,188,479,1044
6,Marc-André ter Stegen,FC Barcelona,Germany,LaLiga Santander,90,GK,1,4,M / M,88,85,88,90,38,88,187,477,1073
7,Mohamed Salah,Liverpool,Egypt,Premier League,90,RW,4,3,H / M,93,86,81,89,45,74,175,468,2228
8,Virgil van Dijk,Liverpool,Holland,Premier League,90,CB,2,3,M / M,77,60,70,72,90,86,193,455,2130
9,Luka Modric,Real Madrid,Croatia,LaLiga Santander,90,CM,4,4,H / H,74,76,89,90,72,66,172,467,2308
10,Giorgio Chiellini,Piemonte Calcio,Italy,Serie A TIM,89,CB,2,3,M / H,68,46,58,62,90,82,187,406,1915
11,De Gea,Manchester United,Spain,Premier League,89,GK,1,3,M / M,90,84,81,92,57,85,192,489,1109
12,Sergio Agüero,Manchester City,Argentina,Premier League,89,ST,4,4,H / M,80,90,77,88,33,74,173,442,2161
13,Luis Suárez,FC Barcelona,Uruguay,LaLiga Santander,89,ST,3,4,H / M,73,89,80,84,51,84,182,461,2250
14,Sergio Busquets,FC Barcelona,Spain,LaLiga Santander,89,CDM,3,3,M / M,42,62,80,81,85,80,189,430,2090
15,N'Golo Kanté,Chelsea,France,Premier League,89,CDM,2,3,M / H,78,65,77,81,87,83,168,471,2209
16,Robert Lewandowski,FC Bayern München,Poland,Bundesliga,89,ST,4,4,H / M,77,87,74,85,41,82,184,446,2181
17,Alisson,Liverpool,Brazil,Premier League,89,GK,1,3,M / M,85,84,85,89,56,90,191,489,1015
18,Harry Kane,Tottenham Hotspur,England,Premier League,89,ST,3,4,H / H,70,91,79,81,47,83,188,451,2213
19,Sergio Ramos,Real Madrid,Spain,LaLiga Santander,89,CB,3,3,H / M,72,68,75,74,87,85,184,461,2270
20,Kalidou Koulibaly,Napoli,Senegal,Serie A TIM,89,CB,2,3,M / H,71,28,54,68,89,87,187,397,1764
21,Kylian Mbappé,Paris Saint-Germain,France,Ligue 1 Conforama,89,ST,5,4,H / L,96,84,78,90,39,75,178,462,2175
22,Antoine Griezmann,FC Barcelona,France,LaLiga Santander,89,CF,4,3,H / H,81,86,84,89,57,72,176,469,2326
23,Paulo Dybala,Piemonte Calcio,Argentina,Serie A TIM,88,CAM,4,3,M / M,83,82,84,90,43,64,177,446,2190
24,Marco Reus,Borussia Dortmund,Germany,Bundesliga,88,CAM,4,4,H / M,85,88,84,87,45,66,180,455,2217
25,Paul Pogba,Manchester United,France,Premier League,88,CM,5,4,H / M,74,81,86,85,66,86,191,478,2311
