,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
0,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
1,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
2,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
3,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
4,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
5,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
6,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
7,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
8,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
9,Despicable Me,2010,7.6,72,472599,PG,95 min,"Animation, Comedy, Family            ",76
10,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,435622,PG-13,146 min,"Adventure, Family, Mystery            ",77
11,Tangled,2010,7.7,71,374352,PG,100 min,"Animation, Adventure, Comedy            ",77
12,Alice in Wonderland,2010,6.4,53,363899,PG,108 min,"Adventure, Family, Fantasy            ",64
13,Scott Pilgrim vs. the World,2010,7.5,69,346428,PG-13,112 min,"Action, Comedy, Fantasy            ",75
14,Easy A,2010,7.1,72,336135,PG-13,92 min,"Comedy, Drama, Romance            ",71
15,127 Hours,2010,7.6,82,329130,R,94 min,"Biography, Drama            ",76
16,The Town,2010,7.5,74,327677,R,125 min,"Crime, Drama, Thriller            ",75
17,The Fighter,2010,7.8,79,320765,R,116 min,"Biography, Drama, Sport            ",78
18,The Expendables,2010,6.5,45,311744,R,103 min,"Action, Adventure, Thriller            ",65
19,Due Date,2010,6.5,51,308336,R,95 min,"Adventure, Comedy            ",65
20,TRON: Legacy,2010,6.8,49,299697,PG,125 min,"Action, Adventure, Sci-Fi            ",68
21,True Grit,2010,7.6,80,289440,PG-13,110 min,"Drama, Western            ",76
22,Salt,2010,6.4,65,280546,PG-13,100 min,"Action, Mystery, Thriller            ",64
23,The Book of Eli,2010,6.9,53,276586,R,118 min,"Action, Adventure, Drama            ",69
24,RED,2010,7,60,274914,PG-13,111 min,"Action, Comedy, Crime            ",70
25,Insidious,2010,6.8,52,259861,PG-13,103 min,"Horror, Mystery, Thriller            ",68
26,Clash of the Titans,2010,5.8,39,259828,PG-13,106 min,"Action, Adventure, Fantasy            ",58
27,Prince of Persia: The Sands of Time,2010,6.6,50,258939,PG-13,116 min,"Action, Fantasy            ",66
28,Robin Hood,2010,6.6,53,242335,PG-13,140 min,"Action, Drama, History            ",66
29,The A-Team,2010,6.7,47,237816,PG-13,117 min,"Action, Adventure, Thriller            ",67
30,The Other Guys,2010,6.6,64,225706,PG-13,107 min,"Action, Comedy, Crime            ",66
31,The Twilight Saga: Eclipse,2010,5,58,214800,PG-13,124 min,"Action, Adventure, Crime            ",50
32,Grown Ups,2010,5.9,30,214624,PG-13,102 min,Comedy            ,59
33,Megamind,2010,7.2,63,212276,PG,95 min,"Animation, Action, Comedy            ",72
34,The Tourist,2010,6,37,209929,PG-13,103 min,"Action, Adventure, Crime            ",60
35,Predators,2010,6.4,51,202609,R,107 min,"Action, Adventure, Sci-Fi            ",64
36,Machete,2010,6.6,60,184094,R,105 min,"Action, Crime, Thriller            ",66
37,Unstoppable,2010,6.7,69,175254,PG-13,98 min,"Action, Thriller            ",67
38,Blue Valentine,2010,7.4,81,172873,R,112 min,"Drama, Romance            ",74
39,Knight and Day,2010,6.3,46,171784,PG-13,109 min,"Action, Adventure, Comedy            ",63
40,Shrek Forever After,2010,6.3,58,171248,PG,93 min,"Animation, Adventure, Comedy            ",63
41,The Next Three Days,2010,7.4,52,171020,PG-13,133 min,"Action, Crime, Drama            ",74
42,Love & Other Drugs,2010,6.7,55,170285,R,112 min,"Comedy, Drama, Romance            ",67
43,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167571,PG,118 min,"Adventure, Family, Fantasy            ",59
44,Get Him to the Greek,2010,6.4,65,162993,R,109 min,"Comedy, Music            ",64
45,Tucker and Dale vs Evil,2010,7.5,65,156310,R,89 min,"Comedy, Horror            ",75
46,Inception,2010,8.8,74,1884515,PG-13,148 min,"Action, Adventure, Sci-Fi            ",88
47,Shutter Island,2010,8.1,63,1031485,R,138 min,"Mystery, Thriller            ",81
48,Toy Story 3,2010,8.3,92,704131,G,103 min,"Animation, Adventure, Comedy            ",83
49,Iron Man 2,2010,7,57,674392,PG-13,124 min,"Action, Adventure, Sci-Fi            ",70
50,Black Swan,2010,8,79,659640,R,108 min,"Drama, Thriller            ",80
51,How to Train Your Dragon,2010,8.1,74,623175,PG,98 min,"Animation, Action, Adventure            ",81
52,The King's Speech,2010,8,88,602758,R,118 min,"Biography, Drama, History            ",80
53,The Social Network,2010,7.7,95,577946,PG-13,120 min,"Biography, Drama            ",77
54,Kick-Ass,2010,7.6,66,503926,R,117 min,"Action, Adventure, Comedy            ",76
